date_pre,date_post,region,erosion_km2,accretion_km2
2019-07-27,2019-08-26,list_ellenbogen,0.0009,2.368
2019-08-26,2019-09-19,list_ellenbogen,1.8081,0.0
2019-09-19,2019-09-25,list_ellenbogen,0.0,1.4798
2019-09-25,2019-10-25,list_ellenbogen,0.2036,0.2444
2019-10-25,2019-11-18,list_ellenbogen,0.0607,0.155
2019-11-18,2019-11-30,list_ellenbogen,0.2122,0.0194
2019-11-30,2020-02-10,list_ellenbogen,1.9973,0.0028
2020-02-10,2020-03-05,list_ellenbogen,0.0,2.0459
2020-03-05,2020-03-11,list_ellenbogen,0.8969,0.0028
2020-03-11,2020-04-16,list_ellenbogen,1.6901,0.1121
2020-04-16,2020-04-28,list_ellenbogen,0.0092,0.6969
2020-04-28,2020-05-16,list_ellenbogen,1.0212,0.0
2020-05-16,2020-05-28,list_ellenbogen,0.0,1.1903
2020-05-28,2020-06-09,list_ellenbogen,0.0028,1.5266
2020-06-09,2020-06-15,list_ellenbogen,0.8224,0.0905
2020-06-15,2020-06-27,list_ellenbogen,0.319,0.1507
2020-06-27,2020-07-09,list_ellenbogen,0.0248,0.8392
2020-07-09,2020-07-15,list_ellenbogen,0.1504,0.058
2020-07-15,2020-08-08,list_ellenbogen,0.1076,0.1302
2020-08-08,2020-08-14,list_ellenbogen,0.9139,0.0165
2020-08-14,2020-09-07,list_ellenbogen,0.0101,1.0131
2020-09-07,2020-10-13,list_ellenbogen,0.0377,0.1865
2020-10-13,2020-11-06,list_ellenbogen,0.246,0.0349
2020-11-06,2020-11-18,list_ellenbogen,0.1764,0.0503
2020-11-18,2020-12-06,list_ellenbogen,0.0129,0.3261
2020-12-06,2020-12-18,list_ellenbogen,0.0505,0.0735
2020-12-18,2021-01-05,list_ellenbogen,1.4403,0.0
2021-01-05,2021-01-17,list_ellenbogen,0.4344,0.1642
2021-01-17,2021-03-18,list_ellenbogen,0.0668,0.8203
2021-03-18,2021-03-24,list_ellenbogen,1.0815,0.0156
2021-03-24,2021-04-17,list_ellenbogen,0.0469,0.7068
2021-04-17,2021-05-17,list_ellenbogen,0.0101,0.7605
2021-05-17,2021-06-16,list_ellenbogen,0.0156,0.5742
2021-06-16,2021-06-28,list_ellenbogen,0.4297,0.011
2021-06-28,2021-08-03,list_ellenbogen,1.0766,0.0689
2021-08-03,2021-08-27,list_ellenbogen,0.4033,0.1412
2021-08-27,2021-09-02,list_ellenbogen,0.0,2.4754
2021-09-02,2021-09-26,list_ellenbogen,1.8794,0.0064
2021-09-26,2021-10-02,list_ellenbogen,0.0,1.3687
2021-10-02,2021-11-01,list_ellenbogen,0.2903,0.0367
2021-11-01,2021-11-07,list_ellenbogen,1.3826,0.0
2021-11-07,2021-12-01,list_ellenbogen,0.0,1.4885
2021-12-01,2022-03-07,list_ellenbogen,0.5411,0.1302
